date,bau,cable,leads,dm,newspaper,radio,tv15,tv30,digital
10/15/2012,1805323,6500,7530,1546,0,9701,19890,24770,7218
10/22/2012,2799077,5000,7530,1546,0,24004,32265,21365,10531
10/29/2012,3605496,200,7530,1546,0,5726,19080,25615,20676
11/5/2012,1147139,1060,10868,1932,0,2000,34420,24040,15557
11/12/2012,1686263,13144,10868,1932,0,23442,27580,22665,16726
11/19/2012,1756369,13954,10868,95209,1700,12574,23145,24655,15891
11/26/2012,4865537,1456,10868,25822,0,23442,19960,27815,29107
12/3/2012,1146283,7175,8925,1546,0,12574,23395,29455,33334
12/10/2012,2107502,7456,8925,1546,0,19921,16580,22580,24849
12/17/2012,1849514,7661,8925,50975,0,23442,22920,29195,16825
12/24/2012,1854354,8049,8925,1546,0,23442,23430,29200,24053
12/31/2012,3560523,10325,8925,1546,0,18106,62930,32655,18072
1/7/2013,1911647,0,11156,1932,0,5285,34395,24170,20500
1/14/2013,2225501,0,11156,1932,0,25418,38215,35825,26439
1/21/2013,2539047,12449,11156,1932,0,5285,38300,39505,25143
1/28/2013,3320682,12449,11156,1932,0,11621,35220,37465,11843
2/4/2013,1603253,10295,11675,1932,0,5285,15370,27480,8100
2/11/2013,2345297,10585,11675,1932,0,31754,9940,63850,11811
2/18/2013,2447886,0,11675,1932,0,5285,16770,32090,14659
2/25/2013,4279444,0,11675,1932,0,38102,32370,29960,14215
3/4/2013,1732020,1265,11675,97640,0,25418,37890,25360,20754
3/11/2013,2843532,7590,11675,96556,0,25418,41315,38170,20267
3/18/2013,2951604,9108,11675,106329,0,5285,31295,53635,25182
3/25/2013,4242813,16698,11675,1932,0,5285,22835,22175,20781
4/1/2013,1968186,8424,10370,1546,0,20237,26900,14300,18722
4/8/2013,2063764,0,10370,1546,0,18732,24285,11700,18154
4/15/2013,2225554,16524,10370,1546,7500,22084,34490,11870,16295
4/22/2013,2140161,0,10370,1546,0,34814,27400,19750,20853
4/29/2013,3598644,0,10370,52524,0,26639,32610,17110,14893
5/6/2013,1924577,8700,12962,7975,1,18312,26525,20310,21720
5/13/2013,2007363,0,12962,1932,1,46922,20435,16300,24262
5/20/2013,2419327,10500,12962,96273,1,79481,31105,30080,30050
5/27/2013,4336483,4500,12962,201333,1,57373,23095,27730,29701
6/3/2013,1661742,12408,12962,13689,0,52620,43945,26820,23574
6/10/2013,2204740,14288,12962,1932,0,53990,37175,26486,33334
6/17/2013,2603939,3854,12962,1932,0,69806,27175,20937,40931
6/24/2013,3581256,14006,12962,1932,0,55796,26640,26523,36470
